model,accuracy,precision,recall,f1,auc
logreg,0.9738863287250384,0.9740008655243405,0.9738863287250384,0.9739394290367124,0.9941923774954626
svm,0.9815668202764977,0.9814489641157753,0.9815668202764977,0.9814904201299712,0.9959528130671507
naive_bayes,0.8771121351766513,0.8623773485562977,0.8771121351766513,0.8592976617170165,0.6984392014519056
random_forest,0.9831029185867896,0.9831978697186069,0.9831029185867896,0.9827732598337645,0.9946460980036297
